"carapace.width","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
20,NA,0.0155367110116907,0.0273182192827635,0.0718119825937668,0.0296540794501135,0.000653254771567457,0.00252336153532681,0.0445575944253169,0.010896452520785,NA,5.94845672988683e-05,0.00549116818200186,8.45862287300946e-05,0.00257774845020766,0.00218531360237658,0.00321323506673727,0.00108170909682886,0.00177307588670076,NA,0.00467866473153629,0.00371392969327016,0.00479147906934885,0.00625915596983615,0.00931805232892078,0.0072291928260986,0.00545913930591261,NA,0.00145213188354371,9.48620163474373e-05,6.75402291445407e-05,NA
21,NA,0.0182990899129094,0.0343593559049559,0.0670939935475448,0.0239557755848451,0.000596870876955653,0.00246980649051309,0.0489435322883707,0.00843155271209589,NA,8.86949602012215e-05,0.00550353407341512,0.000113061890459267,0.00352746817287913,0.00204921486081577,0.00310395176220331,0.000925991099391114,0.00145135902827678,NA,0.00381422317034485,0.00375285509830876,0.00416974296141061,0.0063045290457639,0.0136054670560886,0.00656481461604062,0.00608693129360711,NA,0.00110134435640954,6.8477136306802e-05,4.605746730623e-05,NA
22,NA,0.0199414773826638,0.0231714846697725,0.0623896612083046,0.0192951362600453,0.000538606079791083,0.00242148773298294,0.0512664725047534,0.00677031712319372,NA,0.000130145273770694,0.0054749439470982,0.0001511406372185,0.00460925151944167,0.0019418826990339,0.00301641779857964,0.000888606208074731,0.00128044316816098,NA,0.00317736562881417,0.003739859732693,0.0036566811253422,0.00645211215145589,0.0165504755656465,0.00609517731823281,0.00693518398224885,NA,0.000941891029448249,5.29848296819404e-05,3.41038375636012e-05,NA
23,NA,0.0196109286852512,0.00926314083637468,0.0578162919063915,0.0156110494454464,0.000483559107649277,0.002378041701679,0.0507902952293389,0.00564788294196535,NA,0.000188622801078988,0.00541498968724193,0.000202054199874653,0.00570317459465907,0.00185894239368172,0.00294905851605745,0.000941053625320797,0.0011987009716729,NA,0.00269105629673474,0.00364049148802083,0.00322547222514006,0.00667091847374719,0.0169973284059122,0.00577459701389855,0.0079857693110409,NA,0.000894987073473026,4.42310758070486e-05,2.73752468138572e-05,NA
24,NA,0.017128076351649,0.00251117959631634,0.0534790016020491,0.0127793610555526,0.000434726819438895,0.00233925178816355,0.0474022770480067,0.00489061382789446,NA,0.000271369330457152,0.00533829685497502,0.000270111082093071,0.00663159403596661,0.00179651924023893,0.00289997415620418,0.00107277424474452,0.00116607234543055,NA,0.00230552929317358,0.00342883834432754,0.00285383513214841,0.00691734664914446,0.0150927421485231,0.00556486356712585,0.00916522244783858,NA,0.000918984312569799,3.99470422093198e-05,2.36919112926346e-05,NA
25,NA,0.0132351930440315,0.000543374593522902,0.0494586949040859,0.0106524157451238,0.000393426268931968,0.00230526660072581,0.0417226441697727,0.00438139669249104,NA,0.000389871243970671,0.00526447172714031,0.000361046928508285,0.00720264827346572,0.00175130875209162,0.00286715269607539,0.0012762473406371,0.0011489494686396,9.13757767551849e-05,0.00198945350887962,0.00310186286554225,0.00252428281811796,0.00713121618750716,0.0119433697337006,0.0054355047009122,0.0103321466083644,NA,0.000982988635480135,3.90176399263799e-05,2.19462254106783e-05,NA
26,NA,0.00914159239724581,0.000110843011957254,0.0458099844749402,0.0090866206307186,0.000359848479992092,0.00227679809791427,0.03487463113824,0.00403970293921707,0.00163933760949374,0.000563098788532231,0.00521676699537806,0.000482488329135774,0.00727905046333649,0.00172064612258961,0.00284857359499999,0.00153084461384642,0.00111496663170409,0.000114023832836364,0.00172511566242781,0.00268798850810975,0.00222480546596624,0.00723498605306466,0.00872894178523918,0.00536313809026042,0.0112828687090716,NA,0.00105143516029358,4.10684522542034e-05,2.15990326724044e-05,NA
27,NA,0.0057841644164656,NA,0.0425600114406722,0.00795689036305183,0.00033354179351726,0.00225527563492299,0.028044917396947,0.00381221210662888,0.00626671502029512,0.000823527696110728,0.0052211551882488,0.00064457152788469,0.00683875276280921,0.00170266197212789,0.00284246074497439,0.00179059937328784,0.00103911090748352,0.000138488707327262,0.0015046879372177,0.00224128464770665,0.00194973858708924,0.00715177801119775,0.0061334711242773,0.00533220492432966,0.0117912388718687,5.38347551784345e-05,0.00108217495838307,4.62643487962835e-05,2.24455432502532e-05,NA
28,NA,0.00347819732329359,NA,0.0397127286053475,0.00716111215362453,0.000313751071184141,0.00224294508613914,0.022102466186741,0.00367021016343953,0.0106980946206702,0.00122787000438794,0.0053075905290051,0.000860770080037364,0.00598674017337332,0.00169642575841867,0.00284772728009059,0.00198938283344208,0.000915952024959645,0.0001640646195017,0.00132732740629115,0.00182170561757604,0.00169918046657,0.00683672160429339,0.00432123246453441,0.00533791693710958,0.0116963943056268,0.000156539433007913,0.00104256901380549,5.52616716809857e-05,2.45263796061171e-05,NA
29,NA,0.0020792109182458,NA,0.0372524907357652,0.00661870123318673,0.000299615063832693,0.00224292054889405,0.0174612249560343,0.00360847964233239,0.0104442464225564,0.00187628344059349,0.00551201917035461,0.00114900415606105,0.0049132075193547,0.00170205032515383,0.00286462408723926,0.00207185809906317,0.00076461233315848,0.000191052654826694,0.00119557905926327,0.00147403198553881,0.00147698935125449,0.00630218299193086,0.00317482232319863,0.00538874753204962,0.0109972552872743,0.000364432574030187,0.000930542643820235,6.93038130918614e-05,2.81655273067804e-05,NA
