"carapace.width","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
10,0.000255617084354261,0.00202698811436726,9.07970839126953e-05,4.62599432921779e-06,0.000135548804344877,0.00281244694321338,3.56238112847576e-05,5.54865636394391e-07,7.55093155654737e-06,1.83473955219343e-08,2.47335868757461e-05,0.000307551776410681,0.0035629684854859,0.000129959857402199,1.23741087732022e-05,2.25537253328086e-06,8.23481079581106e-07,7.80788636831798e-07,0.000180385828089347,1.38673841754383e-13,9.36787281233519e-10,3.28993256052679e-09,1.56016375675203e-10,4.88695726356264e-06,2.5102263310334e-07,3.49663301237908e-10,6.63075623762712e-05,4.2828320223126e-06,9.7577348561035e-05,1.75818797424863e-08,1.42012997461855e-06
11,0.000259519467549945,0.00203997690773859,0.000102810850010272,6.2420938024464e-06,0.0001529803890095,0.00269032169771685,4.16918220285617e-05,8.23614879537983e-07,9.83647202993228e-06,3.18861674312547e-08,3.06544850988524e-05,0.000352946592345147,0.00403190837551433,0.000146675508130826,1.44888296895654e-05,2.79747577134247e-06,1.07807748665232e-06,1.10268579830617e-06,0.000207705967520928,4.12343285953234e-13,1.83327499596955e-09,5.8870657916442e-09,2.7982806417383e-10,6.21014236090827e-06,3.34014357697825e-07,6.45962514075476e-10,7.79720627183384e-05,5.5822548612167e-06,0.000114014550562384,2.93915440550396e-08,1.89276721764368e-06
12,0.000264340300948643,0.00206688872985992,0.000116413875158351,8.38951313498059e-06,0.000172651208990594,0.00257782730769479,4.87929820175644e-05,1.2194727344779e-06,1.28130922017774e-05,5.50002478354904e-08,3.79713495661902e-05,0.00040503889716504,0.00455170916099087,0.000165540797012256,1.69649474954431e-05,3.46985731287028e-06,1.41133719984013e-06,1.55464941208838e-06,0.000239162859187912,1.20091471228594e-12,3.56149280587765e-09,1.04598465772219e-08,5.00580405109857e-10,7.88816667034854e-06,4.4444369128403e-07,1.18863493878427e-09,9.16883302183735e-05,7.2735795541643e-06,0.000133218713188995,4.88591440095161e-08,2.52234673922905e-06
13,0.000270228079011886,0.0021065715212313,0.000131816276465077,1.12299949112704e-05,0.000194848216413075,0.00247424297953189,5.71030382766127e-05,1.80081602522432e-06,1.66893549007415e-05,9.41418557861061e-08,4.70062048043607e-05,0.000464815897252971,0.00512610908281213,0.000186832070578508,1.98642209509925e-05,4.30381552161964e-06,1.84753954729363e-06,2.18794945399183e-06,0.000275382558046139,3.42493140862002e-12,6.86603957695411e-09,1.84494537429163e-08,8.92962618134813e-10,1.00148289971691e-05,5.91381225511589e-07,2.17800652040316e-09,0.000107817191936247,9.47388649248325e-06,0.000155654937213171,8.07500499785965e-08,3.36078868130272e-06
14,0.000277348328033168,0.00215815815253479,0.00014925590519365,1.49697220688079e-05,0.00021989493886519,0.00237891540157434,6.68275779306884e-05,2.65186184867151e-06,2.17365428669357e-05,1.59874177422716e-07,5.81530277972572e-05,0.000533409987207843,0.00575884842053842,0.000210861174297964,2.3258961782567e-05,5.3381633038337e-06,2.41844478863236e-06,3.07345030391383e-06,0.000317085760973975,9.56268654689493e-12,1.31310350849386e-08,3.22990998803856e-08,1.5881061379696e-09,1.2708187561671e-05,7.86895872622876e-07,3.97300198141164e-09,0.000126782901005248,1.23347054569873e-05,0.000181866266339643,1.3265354714076e-07,4.47708489516759e-06
15,0.00028588372561074,0.00222100903424703,0.000169001989384413,1.98698420004008e-05,0.000248156085818176,0.00229125270964355,7.82070750620839e-05,3.89357751492342e-06,2.83073957562294e-05,2.69323043447713e-07,7.18930662435118e-05,0.000612119977208455,0.00645362357385557,0.00023798000535439,2.72338375557633e-05,6.62103016794371e-06,3.16559265044242e-06,4.30880970976941e-06,0.00036510207974321,2.61338065126882e-11,2.49032341092399e-08,5.61129139891613e-08,2.81524978238244e-09,1.61166247614952e-05,1.04704574539486e-06,7.21274241915947e-09,0.000149084273976597,1.60519031935465e-05,0.000212486666535158,2.16560055064215e-07,5.96285573570752e-06
16,0.000296033909756341,0.00229466858305474,0.000191359247408992,2.62589219646773e-05,0.000280042719466472,0.00221071907945577,9.15227841970289e-05,5.69891688660191e-06,3.6860375182258e-05,4.49977874723779e-07,8.88131736749517e-05,0.000702435367684783,0.00721403632709527,0.00026858564730558,3.18879824154622e-05,8.21209545415954e-06,4.14330381970354e-06,6.02818890551044e-06,0.000420386455345272,6.98926210081211e-11,4.68187501585283e-08,9.6720273583207e-08,4.97329323040544e-09,2.04263467801966e-05,1.39319634224966e-06,1.30277922384965e-08,0.00017530777916179,2.08782925105722e-05,0.000248256137829223,3.51256540258576e-07,7.93968513395643e-06
17,0.000308015066600288,0.00237883209003722,0.000216672530138926,3.45475112395416e-05,0.000316018054666085,0.00213682988536417,0.000107103619993279,8.31395486189083e-06,4.79910498989007e-05,7.45512542656183e-07,0.000109627677381759,0.000806064078635041,0.00804353886737583,0.000303126160432956,3.73374682124954e-05,1.01853554462297e-05,5.42259772628546e-06,8.41528934171283e-06,0.000484038031298523,1.82886728128788e-10,8.72232350026509e-08,1.65375616602075e-07,8.7529314968576e-09,2.58706261429222e-05,1.85377404058779e-06,2.34040098057538e-08,0.000206142915836807,2.71396578095068e-05,0.000290038298805675,5.65925566571168e-07,1.05687866535235e-05
18,0.000322059447572494,0.00247332043658862,0.000245332055062592,4.52449417015936e-05,0.00035660395875926,0.00206914737153637,0.000125334184838393,1.20869910100113e-05,6.24726299456465e-05,1.22458698897393e-06,0.000135204358073843,0.000924964076486563,0.00894537533135412,0.00034210711080151,4.37181974750218e-05,1.26325513373282e-05,7.09630384977097e-06,1.17207694903902e-05,0.000557321849484732,4.68141306693568e-10,1.60965313250917e-07,2.80441344203998e-07,1.53437615765929e-08,3.27411493676547e-05,2.46659846155571e-06,4.1803496639071e-08,0.000242400282581078,3.52550441850051e-05,0.000338840834697239,9.05491990785399e-07,1.40637162105858e-05
19,0.00033841501355299,0.00257806076249596,0.000277779301225376,5.89784304381763e-05,0.000402388228362759,0.00200727678773694,0.000146664131405336,1.75083163788666e-05,8.13082227132593e-05,1.99398192037258e-06,0.000166595182238886,0.00106137936627552,0.00992252086132876,0.000386098931362727,5.11892901340335e-05,1.56674149153042e-05,9.28572640765777e-06,1.62853909500117e-05,0.000641693784231976,1.17204162338606e-09,2.94142997080836e-07,4.71571006120585e-07,2.67830068028262e-08,4.14018905865934e-05,3.28198448285181e-06,7.42139058028662e-08,0.000285032801127644,4.57623308658883e-05,0.000395839256945686,1.43847222639396e-06,1.87070534011233e-05
20,0.000357345421429711,0.00269307167367794,0.000314513638911547,7.65144512805521e-05,0.000454032726524111,0.00195086294737328,0.000171619076094178,2.52640979794056e-05,0.000105798054632929,3.21793401647431e-06,0.000205072485415244,0.00121788081853654,0.0109776193497658,0.000435745219971312,5.99370481292162e-05,1.94309256228257e-05,1.21493288865421e-05,2.2570605477919e-05,0.000738829189494496,2.86954985645254e-09,5.32045476496535e-07,7.86149747509234e-07,4.65382534413003e-08,5.23059936703128e-05,4.36686732294588e-06,1.30902960639622e-07,0.000335160641353571,5.93503016950834e-05,0.000462404485577021,2.26835464771908e-06,2.48722318045196e-05
21,0.000379130551039558,0.00281845193296502,0.000356099771933866,9.87822131755939e-05,0.000512282469813869,0.00189958717044654,0.000200813312053531,3.63087394356171e-05,0.000137625717605636,5.14619826025328e-06,0.000252171351802005,0.00139741225642441,0.0121129212325472,0.00049177209207912,7.01795962971101e-05,2.4097817860865e-05,1.58940420985867e-05,3.11987314106766e-05,0.000850655800830578,6.86955826128433e-09,9.52228460950145e-07,1.29908086159239e-06,8.04733178397617e-08,6.60162070214562e-05,5.81028717931221e-06,2.29319082142678e-07,0.000394100485039075,7.68986283036339e-05,0.00054013483583141,3.54988473579764e-06,3.30520183717851e-05
22,0.000404067720773846,0.00295437184053813,0.000403176072343758,0.000126898919802193,0.000577975760642069,0.00185316457859222,0.000234964607427617,5.19611159082621e-05,0.000178968472499408,8.15418087407725e-06,0.000309738965719373,0.00160334210043196,0.0133302228451494,0.000554998720254228,8.21723146182025e-05,2.98846328714757e-05,2.07899755796329e-05,4.30053843424446e-05,0.000979391509218014,1.60780849260051e-08,1.68567858719658e-06,2.12745592703756e-06,1.38435162543105e-07,8.3229472232037e-05,7.73067991380697e-06,3.98828915337932e-07,0.00046339987248463,9.95273822195035e-05,0.000630893066918137,5.51204918559953e-06,4.38955313884308e-05
23,0.000432473670670298,0.00310106670614907,0.00045646388597754,0.000162196286550367,0.000652055464982187,0.00181134171355233,0.000274911415850022,7.40312264460334e-05,0.000232637774763716,1.2799460890838e-05,0.000379991714242474,0.0018395205884962,0.0146308089723616,0.000626349208694505,9.62141963666456e-05,3.70596774424863e-05,2.71895374790105e-05,5.91074231148954e-05,0.00112758770833397,3.67860612414885e-08,2.95046388875437e-06,3.45223687512726e-06,2.36836752741156e-07,0.000104806313519315,1.02855657941702e-05,6.88354920762338e-07,0.000544877498772639,0.000128657868291175,0.000736849232780527,8.4900453083815e-06,5.82561510954327e-05
24,0.000464687319901104,0.00325883196102882,0.000516777880546097,0.000206247560523236,0.000735581539244485,0.0017738944542497,0.000321632872118733,0.000104984993908861,0.000302257459181077,1.99001275549843e-05,0.000465580786273738,0.0021103420432166,0.0160154002915294,0.000706865968713876,0.0001126552894194,4.59553346049425e-05,3.55522552348154e-05,8.09903401711151e-05,0.00129817901147187,8.22689220992237e-08,5.10423799361056e-06,5.54983388329492e-06,4.02818606212331e-07,0.000131805699910822,1.36844204549918e-05,1.17851750012093e-06,0.000640670467126688,0.000166086689705901,0.000860530160882056,1.29690681912462e-05,7.72532164926415e-05
25,0.000501073247238685,0.00342801956652472,0.00058503749311541,0.000260894032842946,0.000829744911587471,0.00174062621117795,0.00037627199636186,0.000148156061477686,0.000392488373268126,3.0641546890979e-05,0.000569666927140886,0.00242081065009495,0.0174841074234832,0.000797724780927217,0.000131905404462177,5.69832724622519e-05,4.64769535225214e-05,0.000110619744714097,0.00149454023937158,1.79828823623198e-07,8.72454965916381e-06,8.83739661425478e-06,6.80881585038448e-07,0.000165526043968012,1.82057654263284e-05,2.00065101534927e-06,0.000753289666970208,0.000214074965672377,0.00100487647277564,1.9643311200554e-05,0.000102351004905702
26,0.000542025808250007,0.00360903545851874,0.000662279506763962,0.000328269760835777,0.000935882821609547,0.00171136638013606,0.000440162584468769,0.000208014313770196,0.00050930955988967,4.67193285904072e-05,0.000696004852469974,0.00277660641458463,0.0190363932581486,0.000900251751695916,0.000154444304674098,7.06532197746514e-05,6.07434052862078e-05,0.000150582319424358,0.00172055169630546,3.84174743303324e-07,1.47291302340388e-05,1.39367435261296e-05,1.14333600102512e-06,0.000207552943146621,2.42198482290338e-05,3.36610886878972e-06,0.000885684624921564,0.000275454459343208,0.00117330814569452,2.94940922968222e-05,0.000135459128141064
