"carapace.width","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
20,0,0,0.0588235294117647,0.0833333333333333,0.024390243902439,0.00719424460431655,0,0.0232558139534884,0.0535714285714286,0,0,0,0,0,0,0.00632911392405063,0,0,0,0,0.00719424460431655,0.0192307692307692,0,0,0,0.00684931506849315,0,0,0,0,0
21,0,0.111111111111111,0,0.0476190476190476,0.0358744394618834,0,0.0166666666666667,0.0510948905109489,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0.0072463768115942,0,0,0.0161290322580645,0.00446428571428571,0.00581395348837209,0,0,0,0,0
22,0,0,0.0476190476190476,0.111111111111111,0.041044776119403,0,0,0.0504201680672269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0.00613496932515337,0,0,0,0,0
23,0,0,0,0.107142857142857,0.00558659217877095,0,0,0.0661764705882353,0,0,0,0,0,0.0142857142857143,0,0,0,0.032258064516129,0,0,0.010752688172043,0,0.0263157894736842,0,0.0459770114942529,0.0192307692307692,0,0,0,0,0
24,0,0,0,0.0588235294117647,0.0112994350282486,0,0,0.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0487804878048781,0,0,0,0,0,0
25,0,0,0,0.0392156862745098,0.00416666666666667,0,0,0.0384615384615385,0,0,0,0.0454545454545455,0,0.0224719101123595,0.00746268656716418,0,0.0078740157480315,0,0,0.0117647058823529,0,0,0,0.0212765957446809,0,0,0,0,0,0,0
26,0,0,0,0.0579710144927536,0.00425531914893617,0,0,0.0347826086956522,0.00363636363636364,0,0,0,0,0,0,0.0078740157480315,0,0,0,0.00970873786407767,0,0,0.0198019801980198,0,0,0.00961538461538462,0,0.00571428571428571,0,0,0
27,0,0.037037037037037,0,0.0297029702970297,0.00391389432485323,0,0,0.0326633165829146,0,0,0,0,0,0,0,0,0,0,0,0,0.00598802395209581,0.0053475935828877,0,0,0.00641025641025641,0.0118343195266272,0,0,0,0,0
28,0,0,0,0,0.0134048257372654,0,0,0.0156739811912226,0,0.04,0,0,0,0.0140845070422535,0.0108695652173913,0.00598802395209581,0,0,0,0,0,0.00641025641025641,0.00892857142857143,0,0.00793650793650794,0.0115384615384615,0,0,0,0,0
29,0,0,0,0.027027027027027,0,0,0,0.0161290322580645,0.00699300699300699,0,0.02,0,0,0,0,0.0147058823529412,0,0,0,0,0.0036101083032491,0,0.00925925925925926,0.0166666666666667,0.00434782608695652,0.0103448275862069,0,0,0,0,0
30,0,0,0,0.025,0,0,0,0.0210526315789474,0.01171875,0,0.0285714285714286,0,0,0,0,0,0.00680272108843537,0,0,0,0.004739336492891,0.00641025641025641,0,0,0,0.00373134328358209,0,0.00387596899224806,0,0,0
31,0,0,0,0,0.025974025974026,0,0,0.0072992700729927,0.00446428571428571,0,0,0,0,0,0.0120481927710843,0,0.0175438596491228,0,0.0142857142857143,0,0,0,0.008,0,0.008,0.021978021978022,0,0,0,0,0
32,0,0,0,0.0454545454545455,0.015625,0,0,0.0121212121212121,0.00389105058365759,0,0,0.0357142857142857,0,0.0138888888888889,0,0.0108695652173913,0,0,0,0,0,0,0.0148148148148148,0.02,0,0.00892857142857143,0,0,0,0,0
33,0,0,0,0.0465116279069767,0,0,0,0.0225988700564972,0.0112781954887218,0,0,0.0416666666666667,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.0384615384615385,0.0116279069767442,0.00598802395209581,0,0.0180722891566265,0.00689655172413793,0.0108695652173913,0,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0.0240963855421687,0.0149253731343284,0,0,0,0,0
35,0,0,0,0.0384615384615385,0,0,0,0,0.0031055900621118,0.00490196078431373,0,0,0,0,0,0.00943396226415094,0,0.00458715596330275,0,0,0,0.00442477876106195,0.00975609756097561,0,0,0.0144927536231884,0.0121951219512195,0,0,0,0
36,0,0,0,0.0256410256410256,0,0,0,0.0099009900990099,0.00540540540540541,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0.012987012987013,0,0.0114942528735632,0.0087719298245614,0,0,0,0
37,0.0185185185185185,0,0,0.0625,0.00680272108843537,0,0,0.00350877192982456,0.0181347150259067,0.00347222222222222,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.00432900432900433,0,0,0,0,0,0.00862068965517241,0.0091324200913242,0
38,0.028169014084507,0,0,0.0392156862745098,0.02,0,0,0.0633802816901408,0.0384615384615385,0.0514705882352941,0.177215189873418,0,0,0,0,0,0,0,0,0,0,0,0.00483091787439614,0,0.0125,0.00657894736842105,0.0050251256281407,0.00888888888888889,0,0,0
39,0.0256410256410256,0,0,0,0,0,0,0.0488721804511278,0.0574412532637076,0.0292887029288703,0.253731343283582,0.075,0,0,0,0,0,0,0.00574712643678161,0,0,0,0.0127388535031847,0.00909090909090909,0.0333333333333333,0,0.00909090909090909,0,0.0144927536231884,0,0
40,0.0147058823529412,0,0.0333333333333333,0.0217391304347826,0,0,0,0.125490196078431,0.0764525993883792,0.1,0.230769230769231,0.0425531914893617,0.0232558139534884,0,0.0120481927710843,0,0,0.00442477876106195,0.00529100529100529,0,0.0277777777777778,0,0.0114285714285714,0.0340909090909091,0.04,0,0,0.00467289719626168,0.0143540669856459,0.0107913669064748,0
41,0.0666666666666667,0,0,0,0,0,0,0.155234657039711,0.152027027027027,0.193050193050193,0.383333333333333,0.130434782608696,0,0,0,0.0114942528735632,0,0.0201005025125628,0.0150375939849624,0.0686274509803922,0.024390243902439,0.0118343195266272,0.00628930817610063,0.0930232558139535,0.0612244897959184,0,0.00892857142857143,0.0163934426229508,0.0572916666666667,0.0236486486486486,0.0185185185185185
42,0.146341463414634,0,0,0.0344827586206897,0,0,0,0.231428571428571,0.23,0.225308641975309,0.39622641509434,0.0888888888888889,0.0487804878048781,0,0,0,0.025,0.0621468926553672,0.0487804878048781,0.0578512396694215,0.036036036036036,0.00689655172413793,0.0324324324324324,0.094017094017094,0.0192307692307692,0.0309278350515464,0.0406976744186047,0.0427807486631016,0.104477611940299,0.0611510791366906,0.0235294117647059
43,0.09375,0,0,0,0.0232558139534884,0,0,0.257452574525745,0.35361216730038,0.322033898305085,0.43452380952381,0.2,0.0909090909090909,0,0.0192307692307692,0.01,0.0531914893617021,0.0588235294117647,0.0642201834862385,0.0454545454545455,0.145038167938931,0.0396825396825397,0.0659340659340659,0.170731707317073,0.175675675675676,0.0686274509803922,0.0898203592814371,0.108433734939759,0.134228187919463,0.101321585903084,0.111111111111111
44,0.211538461538462,0,0.142857142857143,0.0454545454545455,0,0,0,0.35126582278481,0.442446043165468,0.279569892473118,0.336405529953917,0.369565217391304,0.0333333333333333,0,0,0.0121951219512195,0.0736842105263158,0.0647058823529412,0.0845070422535211,0.103225806451613,0.275229357798165,0.036697247706422,0.159203980099502,0.162337662337662,0.163636363636364,0.0674157303370786,0.106741573033708,0.196319018404908,0.314553990610329,0.206611570247934,0.133928571428571
45,0.256880733944954,0.222222222222222,0.153846153846154,0.105263157894737,0.0140845070422535,0,0,0.416149068322981,0.448132780082988,0.330459770114943,0.427966101694915,0.406779661016949,0.107142857142857,0.0408163265306122,0.015625,0.0125,0.0388349514563107,0.134408602150538,0.171779141104294,0.0962566844919786,0.182926829268293,0.133333333333333,0.215789473684211,0.20979020979021,0.22972972972973,0.11864406779661,0.217687074829932,0.230769230769231,0.413793103448276,0.239382239382239,0.152866242038217
46,0.451219512195122,0.285714285714286,0,0.05,0.0227272727272727,0,0,0.432960893854749,0.469090909090909,0.31830985915493,0.371323529411765,0.406779661016949,0.2,0.0338983050847458,0,0.010752688172043,0.0990990990990991,0.133689839572193,0.236363636363636,0.137931034482759,0.25,0.119266055045872,0.244019138755981,0.212765957446809,0.258426966292135,0.252336448598131,0.283018867924528,0.31638418079096,0.455399061032864,0.237942122186495,0.276699029126214
47,0.430232558139535,0.176470588235294,0.0666666666666667,0,0.010989010989011,0,0,0.409200968523002,0.54251012145749,0.387573964497041,0.365771812080537,0.363636363636364,0.234042553191489,0.0833333333333333,0,0.043956043956044,0.0803571428571429,0.191256830601093,0.170588235294118,0.130044843049327,0.23780487804878,0.17741935483871,0.274193548387097,0.165413533834586,0.319148936170213,0.157407407407407,0.303370786516854,0.337719298245614,0.563176895306859,0.28486646884273,0.321052631578947
